"%s and greater","%s and greater"
"Advanced Search","Advanced Search"
"All","All"
"Autogenerated site map","Autogenerated site map"
"Catalog Advanced Search","Catalog Advanced Search"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go to Home Page","Go to Home Page"
"Grid","Grid"
"Home","Home"
"List","List"
"Maximum Query Length","Maximum Query Length"
"Maximum Words Length","Maximum Words Length"
"Minimal Query Length","Minimal Query Length"
"Modify your search","Modify your search"
"Name","Name"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Popular Search Terms","Popular Search Terms"
"Popular search terms","Popular search terms"
"Price","Price"
"Relevance","Relevance"
"Required Fields","Required Fields"
"Results","Results"
"Search","Search"
"Search Settings","Search Settings"
"Search Site","Search Site"
"Search Terms","Search Terms"
"Search Type","Search Type"
"Search entire store here...","Search entire store here..."
"Search results for '%s'","Search results for '%s'"
"Search results for: '%s'","Search results for: '%s'"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","There are no search terms available."
"Use Layered Navigation For Results","Use Layered Navigation For Results"
"Yes","Yes"
"You have to specify at least one search term","You have to specify at least one search term"
"Your search returns no results.","Your search returns no results."
"actual only for ""Like"" Search type","actual only for ""Like"" Search type"
"up to %s","up to %s"
